,,,,GCN,GCN,GCN,GCN (ToyMix),GCN (ToyMix),GCN (ToyMix),"GCN (ToyMix)
unfreeze","GCN (ToyMix)
unfreeze","GCN (ToyMix)
unfreeze","GCN (ToyMix)
unfreeze","GCN
(ToyMix+RxRx3)","GCN
(ToyMix+RxRx3)","GCN
(ToyMix+RxRx3)","GCN
(ToyMix+RxRx3)",GCN (LargeMix),GCN (LargeMix),GCN (LargeMix),MPNN+,MPNN+,MPNN+,MPNN+ (ToyMix),MPNN+ (ToyMix),MPNN+ (ToyMix),MPNN+ (LargeMix),MPNN+ (LargeMix),MPNN+ (LargeMix)
,,,,0.1M,1M,10M,0.1M,1M,10M,0.1M,1M,10M,100M,0.1M,1M,10M,100M,0.1M,1M,10M,1M,10M,100M,1M,10M,100M,0.1M,1M,10M
Caco2_Wang,0.281,MAE,↓,4.668,0.601,0.501,5.293,2.277,0.539,5.243,0.972,0.517,0.753,4.028,4.085,0.579,0.607,,,,,,,3.872,4.782,2.275,,,
HIA_Hou,0.994,AUROC,↑,0.716,0.566,0.51,0.359,0.849,0.906,0.448,0.869,0.925,0.981,0.159,0.888,0.947,0.934,,,,0.711,0.846,0.5,0.307,0.681,0.942,,,
Pgp_Broccatelli,0.948,AUROC,↑,0.801,0.855,0.875,0.747,0.79,0.886,0.768,0.84,0.889,0.889,0.575,0.88,0.899,0.905,,,,0.81,0.879,0.868,0.714,0.886,0.869,,,
Bioavailability_Ma,0.721,AUROC,↑,0.617,0.72,0.704,0.31,0.633,0.64,0.346,0.611,0.676,0.652,0.686,0.646,0.439,0.637,,,,0.696,0.711,0.688,0.398,0.59,0.565,,,
Lipophilicity_AstraZeneca,0.386,MAE,↓,2.009,0.914,0.898,1.191,0.936,0.916,0.988,0.923,0.909,0.827,1.929,0.914,0.877,0.835,,,,,,,1.256,0.873,0.858,,,
Solubiliy_AqSolDB,0.679,MAE,↓,2.292,1.137,1.048,2.243,1.371,1.273,2.149,1.366,1.244,1.085,1.767,1.482,1.076,1.107,,,,1.703,1.065,0.868,1.757,1.376,1.315,,,
BBB_Martins,0.941,AUROC,↑,0.659,0.759,0.72,0.267,0.664,0.766,0.565,0.729,0.77,0.835,0.607,0.697,0.834,0.869,,,,0.784,0.815,0.869,0.415,0.758,0.717,,,
PPBR_AZ,6.464,MAE,↓,88.252,82.5,77.192,87.966,82.499,62.135,87.387,82.059,63.294,70.686,88.478,81.102,58.492,43.722,,,,86.019,83.709,79.111,88.097,81.854,78.929,,,
VDss_Lombardo,0.718,Spearman,↑,-0.019,0.445,0.487,-0.616,0.408,0.453,0.063,0.405,0.482,0.593,-0.094,0.376,0.556,0.591,,,,0.513,0.542,0.553,-0.113,0.397,0.426,,,
CYP2D6_Veith,0.783,AUPRC,↑,0.132,0.149,0.137,0.137,0.306,0.374,0.137,0.365,0.396,0.539,0.248,0.391,0.502,0.567,,,,0.469,0.6,0.647,0.3,0.346,0.443,,,
CYP3A4_Veith,0.914,AUPRC,↑,0.391,0.69,0.62,0.58,0.629,0.683,0.59,0.677,0.704,0.767,0.473,0.709,0.759,0.793,,,,0.698,0.809,0.858,0.488,0.681,0.735,,,
CYP2C9_Veith,0.856,AUPRC,↑,0.277,0.315,0.262,0.448,0.585,0.612,0.535,0.596,0.64,0.716,0.378,0.628,0.703,0.724,,,,0.672,0.728,0.754,0.49,0.583,0.632,,,
CYP2C9_Substrate,0.464,AUPRC,↑,0.323,0.292,0.342,0.227,0.209,0.372,0.236,0.242,0.39,0.407,0.274,0.293,0.409,0.42,,,,0.334,0.427,0.429,0.25,0.377,0.401,,,
CYP2D6_Substrate,0.72,AUPRC,↑,0.295,0.27,0.309,0.253,0.301,0.427,0.239,0.337,0.478,0.659,0.272,0.334,0.572,0.632,,,,0.359,0.611,0.69,0.313,0.452,0.533,,,
CYP3A4_Substrate,0.68,AUROC,↑,0.518,0.559,0.563,0.556,0.584,0.601,0.557,0.589,0.597,0.565,0.621,0.615,0.617,0.573,,,,0.559,0.56,0.579,0.593,0.617,0.61,,,
Half_Life_Obach,0.631,Spearman,↑,-0.101,-0.04,0.166,-0.051,0.145,0.298,0.004,0.249,0.306,0.34,-0.127,0.299,0.343,0.334,,,,0.003,0.304,0.394,-0.055,-0.2,0.159,,,
Clearance_Hepatocyte_AZ,0.57,Spearman,↑,-0.048,-0.099,-0.079,-0.057,-0.075,-0.043,0.017,0.048,-0.056,-0.082,0.053,-0.094,0.071,0.204,,,,-0.089,-0.045,-0.077,-0.178,0.146,0.2,,,
Clearance_Microsome_AZ,0.639,Spearman,↑,0.022,-0.016,0.106,0.108,0.01,0.074,0.13,0.029,0.083,0.082,0.066,-0.023,0.139,0.264,,,,0.14,0.163,0.195,0.013,-0.031,0.128,,,
LD50_Zhyu,0.557,MAE,↓,2.39,0.757,0.735,,0.792,0.765,0.809,0.787,0.759,0.739,1.952,0.784,0.745,0.699,,,,0.806,0.738,0.694,,0.797,0.742,,,
hERG,0.872,AUROC,↑,0.652,0.672,0.816,0.637,0.816,0.845,0.669,0.813,0.857,0.873,0.532,0.784,0.745,0.824,,,,0.759,0.85,0.78,0.674,0.737,0.716,,,
AMES,0.867,AUROC,↑,0.528,0.723,0.754,0.55,0.61,0.671,0.583,0.67,0.714,0.757,0.56,0.699,0.748,0.764,,,,0.738,0.802,0.843,0.558,0.642,0.739,,,
DILI,0.946,AUROC,↑,0.532,0.69,0.761,0.486,0.902,0.917,0.518,0.89,0.911,0.928,0.281,0.878,0.89,0.894,,,,0.736,0.89,0.853,0.3,0.556,0.715,,,
