task	metric	direction	rank1	rank2	rank3	rank4	rank5	rank6	rank7	rank8	rank9	rank10	mean	median	std	min	max
caco2_wang	mae	lower	0.2560	0.2740	0.2760	0.2850	0.2870	0.2870	0.2890	0.2970	0.3210	0.3260	0.2898	0.2870	0.0210	0.2560	0.3260
hia_hou	auroc	higher	0.9930	0.9900	0.9890	0.9880	0.9860	0.9850	0.9810	0.9810	0.9780	0.9750	0.9846	0.9855	0.0057	0.9750	0.9930
pgp_broccatelli	auroc	higher	0.9380	0.9350	0.9300	0.9290	0.9290	0.9230	0.9180	0.9080	0.9020	0.8950	0.9207	0.9260	0.0146	0.8950	0.9380
bioavailability_ma	auroc	higher	0.9420	0.9380	0.9350	0.9300	0.9290	0.9290	0.9280	0.9260	0.9230	0.9220	0.9302	0.9290	0.0064	0.9220	0.9420
lipophilicity_astrazeneca	mae	lower	0.4560	0.4670	0.4700	0.4790	0.5120	0.5150	0.5250	0.5350	0.5380	0.5390	0.5036	0.5135	0.0324	0.4560	0.5390
solubility_aqsoldb	mae	lower	0.7410	0.7610	0.7750	0.7760	0.7890	0.7920	0.7960	0.8270	0.8280	0.8290	0.7914	0.7905	0.0298	0.7410	0.8290
bbb_martins	auroc	higher	0.9240	0.9200	0.9160	0.9150	0.9130	0.9120	0.9100	0.9080	0.9060	0.9050	0.9129	0.9125	0.0061	0.9050	0.9240
ppbr_az	mae	lower	7.4400	7.5260	7.6600	7.6960	7.7880	7.9140	7.9900	8.2000	8.2880	8.6800	7.9182	7.8510	0.3826	7.4400	8.6800
vdss_lombardo	spearman	higher	0.7130	0.7070	0.6280	0.6270	0.6090	0.5820	0.5610	0.5590	0.5350	0.4970	0.6018	0.5955	0.0700	0.4970	0.7130
cyp2d6_veith	auprc	higher	0.7900	0.7390	0.7230	0.7210	0.7190	0.7180	0.6850	0.6730	0.6640	0.6490	0.7081	0.7185	0.0415	0.6490	0.7900
cyp3a4_veith	auprc	higher	0.9160	0.9040	0.9020	0.8840	0.8810	0.8770	0.8760	0.8750	0.8670	0.8620	0.8844	0.8790	0.0174	0.8620	0.9160
cyp2c9_veith	auprc	higher	0.8590	0.8390	0.8290	0.8230	0.7890	0.7860	0.7830	0.7770	0.7670	0.7580	0.8010	0.7875	0.0339	0.7580	0.8590
cyp2c9_substrate_carbonmangels	auprc	higher	0.4740	0.4410	0.4370	0.4370	0.4330	0.4170	0.4170	0.4150	0.4000	0.3920	0.4263	0.4250	0.0234	0.3920	0.4740
cyp2d6_substrate_carbonmangels	auprc	higher	0.7360	0.7310	0.7200	0.7130	0.7040	0.7040	0.6950	0.6860	0.6850	0.6770	0.7051	0.7040	0.0199	0.6770	0.7360
cyp3a4_substrate_carbonmangels	auroc	higher	0.6670	0.6630	0.6620	0.6550	0.6500	0.6470	0.6400	0.6390	0.6330	0.6300	0.6486	0.6485	0.0130	0.6300	0.6670
half_life_obach	spearman	higher	0.5760	0.5620	0.5570	0.5470	0.5440	0.4950	0.4850	0.4380	0.3920	0.3720	0.4968	0.5195	0.0738	0.3720	0.5760
clearance_hepatocyte_az	spearman	higher	0.5360	0.4980	0.4660	0.4470	0.4460	0.4400	0.4400	0.4390	0.4310	0.4300	0.4573	0.4430	0.0342	0.4300	0.5360
clearance_microsome_az	spearman	higher	0.6300	0.6280	0.6260	0.6250	0.6250	0.5990	0.5970	0.5860	0.5850	0.5780	0.6079	0.6120	0.0208	0.5780	0.6300
ld50_zhu	mae	lower	0.5520	0.5730	0.5850	0.5880	0.6060	0.6140	0.6210	0.6220	0.6250	0.6300	0.6016	0.6100	0.0259	0.5520	0.6300
herg	auroc	higher	0.8800	0.8750	0.8740	0.8710	0.8560	0.8460	0.8410	0.8400	0.8360	0.8250	0.8544	0.8510	0.0194	0.8250	0.8800
ames	auroc	higher	0.8710	0.8700	0.8690	0.8680	0.8520	0.8500	0.8490	0.8470	0.8430	0.8420	0.8561	0.8510	0.0119	0.8420	0.8710
dili	auroc	higher	0.9560	0.9250	0.9190	0.9190	0.9170	0.9090	0.9060	0.8990	0.8870	0.8870	0.9124	0.9130	0.0202	0.8870	0.9560
